Time in ms,X in mm,Y in mm,Z in mm
0.0,246.4,318.57,482.04
38.16152,246.75,318.47,483.17
68.95113,246.76,318.49,482.55
101.47786,246.75,318.48,482.62
133.76236,246.46,318.45,482.26
164.49523,245.79,318.47,481.27
196.7845,246.18,318.37,482.72
228.10364,247.0,318.39,482.09
254.28629,245.29,318.4,481.42
286.78203,246.87,318.82,480.82
313.79604,246.48,318.35,481.38
340.12151,245.98,318.77,481.8
389.50729,246.39,318.4,481.74
420.45832,245.93,318.79,482.43
489.64453,247.03,318.8,483.06
524.20378,246.67,318.39,482.23
555.57489,245.97,318.6,479.59
586.4017,247.12,318.49,482.97
622.81942,246.73,318.46,483.3
652.75097,246.84,318.53,482.56
680.66549,247.15,318.36,485.07
717.57555,245.79,318.9,481.13
746.27399,246.37,318.55,480.39
779.61898,246.89,318.91,480.96
815.35387,245.82,318.49,481.31
847.18132,246.16,318.55,481.87
879.53639,246.96,318.51,482.36
908.16379,245.68,318.66,480.13
944.54241,247.04,318.86,483.58
978.14441,246.76,318.91,482.31
1012.48646,245.98,318.57,480.97
1044.56854,246.79,318.99,482.44
1076.00117,246.77,318.55,483.43
1109.42554,246.13,318.74,480.46
1138.48948,246.87,318.65,482.85
1167.42659,246.47,318.65,482.55
1197.74365,246.86,318.63,482.58
1224.44272,246.5,318.66,481.79
1259.17172,246.8,318.56,483.07
1293.87355,244.41,318.59,482.56
1327.39544,246.54,318.59,482.55
1355.03292,246.25,318.62,481.3
1386.93166,246.32,318.56,481.43
1422.89138,246.8,318.67,479.76
1454.77152,246.59,318.49,482.91
1484.61938,247.01,318.43,483.79
1512.63046,246.94,318.35,485.29
1537.71472,246.34,318.47,482.78
1564.26644,245.68,318.52,481.82
1595.80278,247.09,318.84,481.68
1626.37591,246.72,318.88,481.15
1662.99319,246.88,318.81,481.87
1695.1704,246.55,318.88,482.16
1721.47322,246.16,318.51,482.21
1752.85006,245.6,318.75,479.45
1780.10988,246.69,318.67,482.23
1821.15483,246.79,318.64,482.65
1855.14259,246.94,318.19,484.17
1884.29904,246.26,318.71,481.69
1913.09214,245.9,318.68,481.33
1942.8196,246.41,318.54,482.45
1971.35258,246.97,319.03,480.06
2002.53487,246.42,318.59,480.79
2034.56664,247.15,318.92,481.87
2064.1675,246.72,318.46,483.34
2094.81859,246.43,318.58,482.08
2129.26888,246.53,318.57,482.58
2162.25362,246.6,318.59,482.63
2188.91692,246.2,319.02,481.99
2218.21404,246.56,318.55,482.43
2250.30541,247.03,318.6,481.72
2280.19691,246.44,318.54,482.85
2312.17766,246.47,318.59,482.58
2338.80472,246.49,318.96,482.79
2376.03927,245.77,318.6,481.17
2405.04622,247.18,318.82,484.92
2436.17225,246.79,318.48,483.29
2463.40752,246.4,318.65,481.42
2494.96913,246.89,318.64,481.84
2521.62313,247.23,318.48,484.28
2555.13906,246.5,318.59,482.38
2586.36594,244.51,318.58,482.17
2615.24272,245.18,318.6,480.51
2645.8993,246.25,318.9,482.47
2678.7858,246.68,318.52,481.73
2704.7503,246.74,318.58,481.9
2737.49113,246.65,318.55,483.23
2762.39443,246.42,318.62,481.74
2797.04165,246.58,318.55,482.85
2829.88167,246.72,319.0,481.65
2857.42664,246.69,318.49,483.03
2889.02998,246.81,318.56,482.56
2921.26369,246.8,318.53,483.36
2951.85018,245.75,318.68,480.62
2978.28889,246.19,318.58,482.12
3010.56552,247.04,318.47,482.92
3037.41431,246.55,318.52,482.03
3075.69098,246.43,318.91,482.22
3105.30329,246.11,318.89,482.35
3132.7281,244.07,318.48,481.75
3161.69071,246.9,318.47,482.88
3188.11297,247.13,318.39,485.17
3220.11995,246.82,318.11,483.4
3255.85985,246.19,318.64,481.08
3286.02457,246.73,318.9,482.74
3312.10399,246.98,318.89,481.53
3345.07108,246.48,318.8,482.64
3380.72133,245.81,318.56,481.02
3412.73975,245.93,318.63,480.77
3446.80572,246.29,318.67,480.93
3477.8111,246.86,318.59,482.95
3504.76813,245.09,318.28,480.91
3538.81478,246.6,318.6,482.04
3568.46452,246.67,318.58,481.96
3595.66855,246.59,318.98,480.19
3622.504,246.86,318.88,482.21
3650.94519,246.66,319.02,479.44
3683.91824,246.63,318.55,482.28
3719.44666,247.12,318.55,483.42
3751.36781,246.87,318.73,481.06
3778.31697,246.13,318.35,480.79
3804.92449,246.66,318.66,481.72
3831.19154,246.59,318.53,482.71
3862.11014,245.79,318.56,481.47
3896.61765,246.58,318.49,481.82
3922.93072,246.91,318.86,482.87
3956.06065,246.86,318.91,481.75
3987.66732,246.41,318.44,482.4
4019.18173,246.89,318.49,482.63
4048.54369,245.48,318.69,480.07
4079.0031,246.17,318.6,481.8
4107.58495,247.36,318.88,483.64
4140.24949,246.45,318.5,482.29
4168.04743,245.65,318.65,479.65
4200.42014,246.92,318.59,481.37
4229.16389,246.87,318.53,483.13
4261.31964,246.8,318.52,483.01
4293.26487,246.39,318.52,482.34
4319.5858,245.43,318.66,479.44
4351.74108,246.6,318.48,482.21
4388.50975,246.97,318.49,482.3
4432.04045,246.31,318.49,481.73
4464.89167,247.08,318.81,483.46
4494.90595,246.43,318.4,482.46
4525.86722,246.08,318.47,481.87
4553.74122,245.77,318.54,480.7
4586.09605,246.05,318.42,482.84
4619.47989,245.99,318.41,482.45
4646.56687,247.0,318.28,485.43
4678.0448,246.61,318.47,481.69
4711.00926,246.65,318.48,480.82
4737.88023,246.82,318.51,479.71
4767.32898,246.83,318.76,481.63
4796.175,246.83,318.7,483.2
4825.00792,246.2,318.38,482.01
4856.71115,246.22,318.43,482.37
4894.28687,245.09,318.54,480.87
4920.65859,246.22,318.46,482.02
4947.77036,246.11,318.42,482.4
4978.32537,246.98,318.75,484.26
5004.84872,246.86,318.39,482.55
5039.36648,246.64,318.55,480.14
5074.04065,246.97,318.36,484.93
5104.01869,247.13,318.77,484.38
5136.16252,245.78,318.51,481.5
5164.86406,245.9,318.52,481.14
5195.22119,246.92,318.93,480.73
5226.12882,246.64,318.44,482.59
5342.37695,245.82,318.69,481.07
5373.10553,246.34,318.34,480.89
5402.53997,246.63,318.67,482.21
5431.00405,246.48,318.59,482.5
5461.60579,246.16,318.67,479.91
5495.55445,246.01,318.98,482.02
5524.98031,246.85,318.53,481.76
5555.10879,246.35,318.51,482.18
5587.30626,246.64,318.58,482.22
5619.40527,247.05,318.54,483.09
5652.80271,246.96,318.41,484.96
5680.44066,246.34,318.54,482.47
5713.30214,244.43,318.52,482.22
5743.07823,245.9,318.51,481.27
5773.58651,244.58,318.4,483.26
5803.70474,247.13,318.78,483.77
5830.64723,246.91,318.46,482.62
5863.28769,246.31,318.54,480.98
5896.6043,246.57,318.68,479.28
5930.35126,246.93,318.83,484.59
5960.18767,246.76,318.55,481.68
5991.07933,246.89,318.6,481.41
6022.40038,246.4,318.54,483.39
6051.90301,245.8,319.01,481.38
6087.53061,246.69,318.53,482.91
6122.12348,245.91,319.01,480.38
6152.55332,246.19,318.69,479.47
6180.99236,247.09,318.46,484.87
6212.98003,246.31,318.6,481.71
6245.08762,247.07,318.17,484.04
6272.21036,247.21,319.02,481.94
6297.43028,246.33,318.51,482.64
6330.67322,246.94,318.51,482.33
6361.01413,246.3,318.52,482.13
6386.00516,246.37,318.17,480.49
6417.70983,246.8,318.6,480.74
6447.35575,247.01,318.86,482.41
6478.71494,246.94,318.38,482.98
6505.06806,246.61,318.44,480.91
6534.9102,246.54,318.4,482.92
6561.6231,245.87,318.5,481.64
6590.34705,246.68,318.41,481.94
6621.74964,247.01,318.36,483.23
6654.49739,247.02,318.87,480.96
6688.97152,245.0,318.45,480.75
6718.43195,246.71,318.86,480.87
6747.17903,246.7,318.8,482.21
6779.58798,246.06,318.51,480.49
6811.26451,247.02,318.43,483.32
6838.00673,245.97,318.62,480.23
6865.9873,246.29,318.52,482.93
6897.19129,247.14,318.88,482.93
6928.84922,245.57,318.58,480.21
6963.03368,246.71,318.92,482.08
6995.1117,247.18,318.9,483.21
7029.48117,246.74,318.59,481.78
7057.07669,246.7,318.54,483.19
7088.1784,246.48,318.66,482.07
7120.92257,245.47,318.37,480.11
7147.34769,246.24,318.64,482.03
7178.16281,246.57,318.55,483.16
7205.18184,246.06,318.61,480.81
7238.35039,246.27,318.49,482.17
7271.83628,247.01,318.82,483.18
7304.60525,246.93,318.34,484.43
7330.81365,246.65,318.47,481.92
7363.28435,246.35,318.48,482.23
7396.01541,246.05,318.89,482.33
7422.33706,246.6,318.86,482.11
7448.42696,245.77,318.45,481.53
7479.25854,246.88,318.5,482.29
7506.39963,247.06,318.39,486.15
7538.82504,245.66,318.72,479.73
7569.90743,246.1,318.62,481.26
7597.97359,247.32,318.51,482.48
7629.58074,246.44,318.48,482.21
7663.45239,246.1,318.62,480.12
7695.55378,245.72,318.52,481.46
7727.78606,246.9,318.43,483.11
7761.1959,246.85,318.48,482.39
7795.87936,246.22,318.42,482.5
7829.19526,246.82,318.94,480.23
7858.44707,246.86,318.87,480.97
7894.09089,246.86,318.47,481.0
7931.95963,246.08,318.53,481.43
7963.86337,246.56,318.53,482.85
7996.46878,246.57,318.5,482.97
8021.19732,246.19,318.15,481.28
8052.0916,246.55,318.52,482.06
8080.80649,246.52,318.47,481.88
8107.97477,246.82,318.37,482.73
8141.64925,246.84,318.82,481.65
8168.58745,246.01,318.36,482.52
8201.28608,246.6,318.84,480.96
8230.21173,246.61,318.86,481.49
8263.02242,246.52,318.83,482.32
8296.31376,246.88,318.43,482.73
8324.96858,246.53,318.56,482.57
8361.413,246.86,318.96,483.27
8394.32096,246.15,318.59,481.78
8427.87766,244.54,318.61,482.01
8456.24566,246.22,318.65,481.59
8486.28831,246.52,318.62,482.74
8514.29391,246.28,318.69,480.72
8545.75253,246.58,318.71,480.25
8575.83761,246.54,318.62,481.41
8607.5263,246.63,318.62,481.38
8637.19058,246.89,318.49,484.42
8663.33199,246.63,318.55,482.57
8694.64612,246.02,318.65,480.56
8728.13368,245.7,318.59,481.3
8759.78589,247.04,318.96,481.04
8786.75342,246.46,318.47,482.86
8818.25018,246.8,318.94,481.73
8846.23885,246.34,318.49,482.49
8878.08204,246.43,318.54,482.0
8908.05101,245.78,318.65,481.16
8939.33773,246.9,318.58,482.48
8971.05861,246.87,318.55,481.7
9002.69198,246.65,318.46,483.55
9029.03175,246.35,318.54,481.93
9062.11495,246.39,318.47,483.11
9096.12703,246.07,318.5,482.5
9130.26905,246.9,318.49,481.55
9162.23025,246.87,318.89,481.98
9192.80744,246.87,318.51,480.38
9227.50616,246.83,318.44,481.85
9257.67422,246.93,318.92,482.26
9287.9343,245.51,318.64,479.35
9331.57039,246.28,318.9,482.57
9362.30564,246.3,318.51,482.38
9392.36045,246.9,318.52,482.79
9423.88797,246.34,318.63,482.31
9455.28364,246.72,318.64,481.42
9487.83779,246.69,318.55,483.04
9513.56125,246.73,318.55,482.65
9544.80815,246.36,318.55,482.63
9571.07592,246.0,318.56,481.94
9601.66383,244.97,318.59,480.69
9630.05924,245.78,318.56,480.77
9662.75501,246.96,319.02,479.62
9690.30833,246.62,318.56,480.66
9722.52893,246.74,318.51,482.24
9747.86925,246.77,318.91,482.46
9780.88212,246.25,318.61,480.95
9809.73053,246.77,318.58,481.36
9838.30929,247.14,318.48,483.67
9864.95543,246.81,318.59,481.96
9917.92798,247.0,318.89,483.15
9998.57068,246.52,318.52,481.12
10022.82643,245.32,318.56,480.27
10059.56578,246.49,318.53,481.53
10092.00454,245.95,318.55,482.07
10124.98307,246.42,318.55,482.28
10154.9046,246.72,318.59,480.49
10185.94456,246.15,318.92,481.98
10213.83381,246.98,318.5,482.32
10246.52958,246.69,318.6,480.79
10276.76272,246.64,318.55,482.82
10308.60734,246.76,318.52,482.63
10342.53669,246.5,318.57,481.41
10374.48907,246.17,318.58,481.32
10403.28312,246.17,318.49,482.07
10436.82861,244.92,318.5,481.68
10469.6269,246.91,318.86,482.11
10498.56257,247.11,318.32,483.87
10530.18379,246.82,318.4,482.68
10560.35113,246.88,318.48,483.0
10592.31591,246.67,318.88,482.52
10621.97566,246.11,318.44,482.15
10651.66211,246.6,318.4,482.59
10680.51147,246.68,318.91,482.02
10711.65371,246.19,318.48,482.26
10736.51409,247.07,318.49,481.14
10769.12832,245.81,318.96,480.8
10803.71451,246.92,318.88,482.42
10837.10742,246.04,318.85,482.64
10869.03381,246.45,318.63,481.46
10897.09592,246.78,318.6,482.97
10929.67558,246.38,318.7,481.16
10959.14054,246.46,318.36,480.52
10993.30854,246.78,318.62,482.97
11020.36643,247.09,318.5,485.45
11056.73027,246.45,318.63,481.74
11086.33494,246.46,318.52,482.83
11117.59734,246.59,318.47,482.31
11145.07723,246.23,318.91,482.3
11175.5898,245.83,318.55,480.7
11201.89929,246.16,318.88,482.34
11230.34406,247.23,318.78,484.83
11261.58285,246.0,318.59,481.39
11289.09874,246.27,318.61,482.22
11319.97037,246.36,318.63,482.82
11352.97561,246.32,318.62,482.85
11381.81639,246.7,318.57,483.39
11411.97252,246.73,318.63,481.73
11441.45846,246.71,318.59,482.6
11479.48265,246.42,318.61,481.91
11509.08637,246.47,318.55,482.58
11538.89894,246.18,318.62,481.37
11575.61183,246.49,318.5,482.97
11609.51185,246.48,318.52,482.7
11638.26346,246.43,318.5,482.82
11666.08882,246.05,318.51,481.46
11698.39954,246.9,318.96,480.96
11729.69675,247.06,318.71,485.06
11760.73146,246.84,318.51,480.93
11786.93461,244.85,318.57,480.65
11815.29164,246.55,318.58,482.19
11844.53988,247.02,318.57,482.49
11881.64639,245.64,318.74,478.8
11914.75105,247.0,318.88,483.3
11946.46144,246.26,318.42,483.4
11978.43266,246.79,318.58,482.37
12011.1711,246.82,318.98,482.41
12044.79599,246.08,318.6,481.18
12078.00746,246.52,318.56,482.69
12111.43613,245.81,318.7,480.69
12144.97137,246.91,318.62,482.41
12172.31131,246.88,318.98,482.18
12202.36826,246.33,318.52,482.57
12229.99096,246.81,318.54,482.57
