Time in ms,X in mm,Y in mm,Z in mm
4612.50925,249.83,317.14,481.92
4639.66966,249.5,317.22,479.89
4662.00519,249.51,317.22,479.9
4684.34334,249.52,317.23,479.88
4708.91547,249.85,317.17,481.06
4737.86068,249.51,317.22,479.61
4760.96129,249.86,317.2,481.05
4789.20865,249.2,317.32,477.31
4812.71958,249.14,317.69,478.46
4837.44454,249.49,317.21,479.91
4861.41515,249.89,317.61,480.76
4888.54146,249.53,317.24,479.32
4912.8418,249.49,317.21,480.19
4939.37898,249.51,317.64,479.89
4962.97741,249.5,317.23,479.89
4991.58597,249.5,317.64,479.89
5013.54527,249.49,317.63,480.18
5038.25307,249.11,317.25,478.74
5059.97777,249.52,317.66,479.6
5082.07321,249.12,317.67,479.03
5108.09112,249.5,317.23,480.18
5131.5763,249.87,317.16,481.35
5158.42438,249.11,317.67,479.03
5184.42273,249.53,317.66,479.62
5208.35304,249.53,317.24,479.32
5231.20141,249.88,317.63,480.75
5258.16131,249.51,317.23,479.6
5285.67338,249.86,317.59,481.34
5318.22443,249.16,317.29,477.89
5347.97382,249.49,317.22,479.9
5372.32065,249.49,317.22,479.9
5396.6136,249.5,317.23,479.88
5425.20118,249.49,317.21,479.89
5452.23379,249.5,317.23,479.89
5477.17571,249.49,317.2,480.19
5503.52454,249.54,317.25,479.6
5526.91364,249.51,317.23,479.88
5553.82442,249.49,317.63,480.18
5577.75855,249.86,317.17,481.06
5604.56109,249.51,317.22,479.89
5629.33969,249.8,317.55,482.22
5654.59251,249.8,317.54,482.79
5679.17323,249.89,317.2,480.76
5705.04379,249.12,317.28,478.46
5729.10643,249.49,317.63,479.9
5754.80556,249.51,317.22,480.17
5777.73666,249.17,317.29,477.88
5811.02943,249.55,317.66,479.3
5832.93533,249.49,317.19,480.19
5857.78618,249.89,317.19,480.76
5881.56319,249.49,317.64,479.89
5913.03205,249.5,317.63,479.89
5938.49921,249.47,317.62,480.19
5961.33304,249.5,317.23,479.61
5987.48302,249.87,317.18,480.77
6011.53612,249.47,317.2,480.47
6034.46364,249.87,317.18,480.77
6060.91452,249.82,317.58,481.92
6093.12892,249.52,317.24,479.6
6117.44094,249.88,317.17,481.05
6143.61238,249.5,317.23,479.89
6171.32664,249.85,317.16,481.35
6195.81556,249.5,317.22,479.9
6222.99623,249.53,317.23,479.04
6244.58909,249.53,317.65,479.61
6270.98775,249.52,317.23,479.89
6294.57664,249.54,317.25,479.32
6317.83986,249.16,317.7,478.46
6345.62159,249.89,317.62,480.48
6373.58356,249.47,317.2,480.2
6396.70181,249.12,317.68,478.46
6422.80841,249.54,317.26,479.03
6447.1705,249.5,317.23,479.6
6471.6866,249.49,317.63,480.18
6494.65227,249.54,317.67,479.03
6521.79384,249.48,317.21,480.18
6547.68324,249.54,317.67,479.3
6574.79596,249.52,317.23,479.61
6623.57831,249.5,317.65,479.9
6648.31567,249.5,317.22,479.89
6674.8724,249.52,317.65,479.61
6699.46766,249.5,317.22,479.9
6728.06978,249.48,317.2,480.47
6754.21524,249.89,317.18,480.76
6778.30482,249.13,317.27,478.74
6807.4739,249.5,317.21,479.89
6828.27735,249.52,317.22,479.89
6851.60351,249.47,317.2,480.46
6877.5115,249.47,317.21,480.46
6898.45848,249.5,317.64,479.9
6928.57122,249.51,317.22,479.89
6955.80196,249.5,317.64,479.89
6979.81977,249.9,317.21,480.19
7008.10575,249.49,317.64,479.9
7033.34475,249.5,317.22,479.89
7058.94232,249.5,317.65,479.88
7081.02846,249.51,317.66,479.6
7105.34906,249.54,317.68,479.03
7130.1496,249.48,317.22,479.9
7155.72047,249.85,317.15,481.64
7179.29006,249.56,317.67,479.31
7206.79522,249.48,317.21,479.91
7228.24478,249.53,317.25,479.04
7256.10232,249.49,317.21,480.18
7280.53713,249.13,317.27,478.74
7306.73313,249.47,317.2,480.18
7334.30195,249.86,317.16,481.35
7359.40337,249.51,317.21,480.18
7383.92329,249.53,317.24,479.31
7412.42337,249.52,317.66,479.61
7438.36999,249.51,317.66,479.6
7462.16106,249.49,317.22,480.18
7489.96902,249.49,317.65,479.89
7512.40826,249.9,317.2,480.47
7537.15658,249.54,317.24,479.03
7561.34009,249.49,317.62,480.18
7588.89079,249.87,317.58,481.62
7612.432,249.52,317.22,479.6
7639.09364,249.86,317.59,481.34
7662.19592,249.55,317.67,478.47
7687.5751,249.51,317.66,479.32
7710.92296,249.49,317.21,480.18
7736.04417,249.52,317.23,479.61
7761.44409,249.51,317.22,479.9
7791.78333,249.82,317.56,481.92
7813.85493,249.49,317.21,480.18
7838.42874,249.51,317.23,479.61
7862.68997,249.47,317.61,480.48
7892.95554,249.5,317.64,479.61
7915.21001,249.51,317.23,479.62
7940.61208,249.11,317.27,479.02
7964.14852,249.51,317.64,479.9
7992.84458,249.08,317.22,479.32
8020.43915,249.52,317.23,479.6
8043.23483,249.49,317.22,480.17
8066.2508,249.53,317.24,479.32
8092.66376,249.51,317.65,479.88
8117.39659,249.49,317.22,480.17
8143.96381,249.49,317.22,479.89
8165.91167,249.16,317.26,478.45
8190.48548,249.51,317.66,479.6
8213.37581,249.53,317.24,479.32
8238.71231,249.52,317.23,479.6
8262.6977,249.49,317.64,480.19
8287.88757,249.49,317.21,480.19
8311.2185,249.5,317.2,480.19
8338.27877,249.49,317.63,479.9
8362.3414,249.88,317.18,481.05
8387.41636,249.51,317.66,479.32
8410.39729,249.51,317.2,479.89
8438.60126,249.52,317.66,479.61
8462.6801,249.51,317.64,479.88
8488.3678,249.5,317.2,479.89
8511.51824,249.5,317.23,479.6
8538.97834,249.53,317.65,479.6
8563.1578,249.14,317.26,478.46
8593.0779,249.47,317.2,480.48
8614.13264,249.52,317.23,479.32
8643.19444,249.46,317.2,480.2
8670.28713,249.5,317.23,479.61
8694.70859,249.53,317.23,479.6
8717.48447,249.51,317.64,479.6
8741.88638,249.48,317.2,480.19
8764.14752,249.48,317.2,480.19
8790.28821,249.49,317.22,479.9
8812.02006,249.85,317.16,481.63
8839.76531,249.52,317.67,479.31
8860.85367,249.48,317.19,480.47
8887.50815,249.52,317.22,479.9
8911.46374,249.49,317.22,479.91
8940.58585,249.49,317.22,479.61
8962.63576,249.17,317.29,478.17
8987.62465,249.89,317.63,480.76
9011.57689,249.5,317.21,480.19
9036.73053,249.48,317.22,479.9
9064.93092,249.51,317.66,479.61
9091.97831,249.11,317.24,479.04
9114.41422,249.87,317.17,481.06
9140.0485,249.5,317.23,479.61
9165.18426,249.84,317.58,481.63
9194.99087,249.48,317.21,480.46
9222.05973,249.52,317.23,479.32
9247.10274,249.18,317.71,477.88
9272.79544,249.86,317.16,481.35
9295.24803,249.53,317.67,479.6
9319.34977,249.52,317.24,479.32
9345.05486,249.15,317.7,478.17
9370.04328,249.51,317.23,479.62
9393.77594,249.15,317.27,478.46
9421.09537,249.54,317.24,479.31
9449.21064,249.45,317.18,480.49
9476.69268,249.54,317.26,479.32
