Time in ms,X in mm,Y in mm,Z in mm
4706.2912,247.53,314.74,479.55
4735.68821,247.03,315.12,480.71
4764.70256,245.85,315.63,478.99
4792.23061,246.92,315.43,482.73
4820.62531,246.08,315.02,482.74
4847.49126,245.7,315.46,482.15
4876.12939,246.03,315.38,483.9
4901.81231,246.05,315.39,483.61
4931.29134,245.99,315.37,484.2
4957.85975,246.16,315.51,481.28
4987.34283,246.06,315.03,482.74
5018.87059,246.18,315.12,480.71
5043.8323,245.27,315.05,482.14
5074.75352,248.31,315.14,480.15
5099.72525,250.3,314.56,483.31
5125.22101,251.56,314.14,483.31
5149.02759,252.85,314.15,483.31
5178.20644,253.75,314.24,481.28
5200.81997,254.23,314.76,479.28
5232.44143,255.46,314.3,480.42
5256.6936,256.27,314.25,481.01
5282.2578,257.5,313.68,483.89
5307.34992,257.97,313.33,482.73
5337.00681,258.37,314.15,483.02
5362.70428,258.79,314.56,483.3
5387.05683,258.81,314.19,482.16
5412.61983,259.23,313.77,482.17
5435.85992,259.24,313.78,482.14
5465.44528,259.23,313.78,481.87
5497.85352,258.86,314.31,479.84
5531.78954,259.23,314.6,482.43
5556.4959,258.84,313.88,480.13
5587.93211,258.81,313.34,482.44
5624.68791,257.96,313.78,482.15
5648.79894,257.06,314.09,483.9
5674.34359,255.5,314.33,479.56
5698.90046,253.84,314.82,478.14
5723.4745,253.37,314.29,480.71
5749.99785,252.48,314.22,481.86
5775.31433,251.22,313.8,481.57
5801.62287,249.96,314.68,481.29
5829.94866,247.97,315.2,479.28
5860.33416,246.64,315.14,480.13
5884.28974,244.32,314.98,483.6
5915.82894,246.14,315.48,481.86
5942.02733,246.16,315.49,481.57
5966.59994,245.74,315.51,481.28
5989.85028,246.02,315.39,483.89
6015.5468,245.69,315.05,482.15
6042.14191,245.7,315.49,481.86
6069.53478,246.08,315.42,483.02
6095.14999,246.08,315.44,482.74
6119.38214,246.36,315.32,485.37
6149.27101,246.19,315.53,480.7
6177.66261,246.61,315.14,480.42
6201.09034,247.82,315.05,481.87
6234.34758,249.86,314.56,483.31
6267.93766,251.56,314.57,483.03
6297.99962,252.87,314.61,482.45
6326.47085,253.78,314.71,480.71
6355.51143,254.64,314.71,480.41
6383.91209,255.89,314.3,480.15
6411.58032,260.08,314.21,481.87
6440.98163,257.94,313.71,483.32
6470.80612,258.4,314.26,480.99
6498.08073,258.8,314.22,481.85
6527.94433,259.23,313.79,481.86
6564.26096,259.26,313.41,481.0
6589.17761,259.25,313.36,481.85
6615.2575,259.24,313.81,481.57
6639.54282,258.84,313.9,479.58
6665.694,258.82,314.25,481.0
6689.79454,258.03,313.93,479.27
6716.28118,258.35,313.67,484.19
6743.2251,257.11,314.21,481.87
6767.95578,255.49,314.29,480.42
6794.92235,253.85,314.4,478.7
6820.28389,252.97,314.75,479.56
6848.40202,252.44,314.16,482.74
6872.48254,251.94,314.06,484.78
6900.5785,251.14,314.11,483.61
6923.16341,249.2,314.77,479.0
6950.99354,248.77,314.75,479.57
6974.03383,247.5,315.17,479.85
6998.87753,247.21,314.86,477.57
7025.86722,246.19,315.13,480.71
7051.25761,246.09,315.45,482.72
7078.11284,245.65,315.01,483.02
7100.23499,243.15,315.04,482.15
7132.54404,244.85,315.06,482.13
7156.88777,245.2,315.41,483.32
7182.31893,245.19,315.4,483.6
7206.60353,242.39,315.11,480.71
7231.82821,245.62,314.97,483.6
7259.76562,246.07,315.01,483.02
7286.12876,244.83,315.03,482.43
7312.54983,247.9,315.17,479.85
7338.66644,249.91,315.05,482.15
7362.71954,251.18,314.62,482.16
7388.14139,252.43,314.6,482.43
7412.78481,252.99,314.77,479.56
7440.69839,253.86,314.83,477.87
7465.61861,254.72,314.88,477.3
7492.94543,255.49,314.75,479.57
7517.3564,256.67,314.16,482.74
7540.09223,257.52,313.71,483.31
7572.94989,257.94,313.69,483.88
7597.41426,258.35,314.53,484.2
7623.70276,258.77,314.12,483.6
7654.21176,258.8,313.74,482.73
7681.93173,258.8,313.75,482.74
7708.31776,259.22,313.77,482.44
7737.04314,258.83,314.23,481.29
7761.41667,258.8,314.19,482.16
7789.63351,258.83,314.26,481.0
7815.70721,258.81,313.77,482.15
7842.22245,258.78,313.22,484.47
7865.67664,257.96,313.75,482.44
7890.61999,256.34,314.33,479.57
7915.32493,255.09,314.35,479.27
7940.92965,253.5,314.92,475.9
7965.66153,252.93,314.7,480.71
7990.11445,252.4,314.09,484.48
8015.01226,251.12,313.68,483.9
8042.1629,248.23,314.61,482.16
8068.4216,248.78,314.77,479.28
8095.87526,247.93,315.59,479.56
8136.14869,247.44,315.11,480.71
8160.86006,246.28,315.2,479.0
8187.63924,244.77,314.99,483.6
8216.91489,245.85,315.19,479.27
8245.74852,246.17,315.09,481.28
8270.96725,246.06,315.42,483.31
8295.41421,245.72,315.07,481.56
8318.06898,245.68,315.45,482.16
8340.09933,245.66,315.02,482.72
8364.7306,246.06,315.43,482.74
8390.53464,246.13,315.47,482.15
8417.53721,246.44,315.39,483.62
8443.52102,244.77,314.98,483.32
8469.20252,247.07,315.15,480.11
8494.94576,247.89,315.11,480.71
8519.08135,248.8,315.22,478.71
8543.62488,249.94,314.63,482.14
8568.28594,250.81,314.67,481.28
8593.42217,252.0,315.01,483.03
8619.89331,253.29,314.58,483.02
8650.47717,253.74,314.25,481.01
8674.54243,254.63,314.28,480.42
8700.85835,255.89,314.27,480.71
8724.81155,255.93,314.35,478.99
8751.17326,257.51,314.16,483.02
8783.69856,258.37,314.12,483.34
8807.9896,258.81,313.72,483.03
8832.10087,258.83,314.28,480.44
8856.93669,259.22,313.3,482.74
8890.46621,259.22,313.79,481.31
8916.77141,259.24,314.21,481.57
8946.5518,259.24,314.21,482.14
8974.15352,258.9,314.0,477.58
9002.97189,258.85,313.87,480.41
9027.34828,258.44,313.46,480.13
9055.77445,258.36,313.24,483.91
9079.30732,257.49,314.06,485.07
9106.63748,255.49,314.74,479.85
9129.34804,253.83,314.77,479.28
9153.45931,252.92,314.69,481.0
9177.46878,252.03,314.17,482.73
9217.09895,250.33,314.18,482.45
9245.54038,247.91,314.71,479.87
9273.97656,247.1,315.19,479.29
9302.60277,247.47,315.57,480.14
